id,_ptype,_ltype,price,kabkoId,bedRooms,bathRooms,landSize,buildingSize,garages,sold
167789395931.0,house,sale,2642215640.0,608.0,4.0,4.0,101.0,117.0,,no
2446181423411.0,house,sale,1200988133.0,618.0,4.0,3.0,99.0,109.0,0.0,
5638349772131.0,house,sale,536785404.0,618.0,2.0,1.0,45.0,45.0,0.0,no
60285540734.0,house,rent,30301881.0,618.0,5.0,5.0,150.0,174.0,0.0,no
149700346887.0,house,sale,,618.0,3.0,2.0,51.0,42.0,2.0,no
103923473106.0,house,rent,48976920.0,618.0,,5.0,,150.0,0.0,no
60633837859.0,house,sale,1120789684.0,618.0,3.0,2.0,150.0,112.0,1.0,no
82236463700.0,apartment,sale,880832483.0,618.0,2.0,1.0,0.0,34.0,0.0,no
148982872713.0,,sale,308213687.0,608.0,2.0,2.0,51.0,31.0,0.0,yes
54070662535.0,house,sale,579107730.0,618.0,2.0,1.0,81.0,27.0,0.0,no
124398475320.0,house,sale,15600285060.0,618.0,6.0,7.0,,600.0,4.0,no
13325879090939.0,house,sale,767355980.0,618.0,2.0,2.0,36.0,49.0,0.0,no
96611477007.0,house,sale,21453879651.0,608.0,5.0,5.0,565.0,,2.0,no
11922189266512.0,house,sale,680910370.0,608.0,2.0,1.0,64.0,37.0,0.0,no
113265083235.0,apartment,rent,3048666.0,618.0,0.0,1.0,0.0,22.0,0.0,no
83823011194.0,house,sale,720456332.0,608.0,2.0,,85.0,27.0,0.0,no
19439858246.0,apartment,sale,1840842525.0,618.0,2.0,2.0,0.0,75.0,0.0,no
33399158761.0,house,sale,480121092.0,618.0,3.0,2.0,45.0,37.0,0.0,no
